,date,open,close,high,low,volume,code
0,2005-01-04,9.249,9.262,9.351,9.147,2348.81,600519
1,2005-01-05,9.249,9.462,9.473,9.206,6139.33,600519
2,2005-01-06,9.401,9.3,9.427,9.274,5523.72,600519
3,2005-01-07,9.274,9.376,9.452,9.274,3002.74,600519
4,2005-01-10,9.376,9.719,9.732,9.376,10718.11,600519
5,2005-01-11,9.722,9.732,9.808,9.706,5003.56,600519
6,2005-01-12,9.727,9.757,9.77,9.625,3389.03,600519
7,2005-01-13,9.681,9.813,9.871,9.681,2883.83,600519
8,2005-01-14,9.77,9.635,9.833,9.579,3338.47,600519
9,2005-01-17,9.516,9.63,9.701,9.429,1812.39,600519
10,2005-01-18,9.63,9.783,9.783,9.579,2638.2,600519
11,2005-01-19,9.655,9.635,9.879,9.63,2652.0,600519
12,2005-01-20,9.615,9.633,9.653,9.528,974.05,600519
13,2005-01-21,9.554,9.63,9.655,9.274,3177.36,600519
14,2005-01-24,9.643,9.722,9.805,9.574,4173.4,600519
15,2005-01-25,9.783,10.009,10.037,9.694,5816.65,600519
16,2005-01-26,10.024,10.009,10.113,9.904,3734.98,600519
17,2005-01-27,9.932,9.965,10.024,9.932,1021.62,600519
18,2005-01-28,9.965,9.932,9.965,9.81,1341.23,600519
19,2005-01-31,9.808,10.001,10.011,9.808,1165.07,600519
20,2005-02-01,9.91,9.91,9.986,9.826,4002.6,600519
21,2005-02-02,9.887,10.126,10.159,9.887,5378.17,600519
22,2005-02-03,10.126,9.999,10.126,9.91,4442.64,600519
23,2005-02-04,10.009,10.077,10.126,9.91,4008.38,600519
24,2005-02-16,10.159,10.118,10.164,10.062,4440.63,600519
25,2005-02-17,10.151,9.915,10.151,9.859,11591.68,600519
26,2005-02-18,9.874,9.976,9.986,9.874,9595.49,600519
27,2005-02-21,9.981,10.24,10.291,9.978,10629.98,600519
28,2005-02-22,10.24,10.263,10.291,10.164,5629.02,600519
29,2005-02-23,10.286,10.524,10.545,10.204,5647.06,600519
30,2005-02-24,10.494,10.926,10.964,10.42,9447.26,600519
31,2005-02-25,10.989,10.921,10.989,10.807,5990.53,600519
32,2005-02-28,10.921,11.053,11.246,10.845,4483.44,600519
33,2005-03-01,11.155,11.045,11.155,10.875,5506.09,600519
34,2005-03-02,10.895,10.801,11.025,10.799,11396.74,600519
35,2005-03-03,10.743,10.87,10.921,10.723,3429.85,600519
36,2005-03-04,10.781,10.977,11.028,10.781,4364.96,600519
37,2005-03-07,10.989,11.345,11.434,10.989,10222.84,600519
38,2005-03-08,11.434,11.5,11.531,11.259,6585.54,600519
39,2005-03-09,11.587,11.709,11.886,11.51,4713.03,600519
40,2005-03-10,11.942,11.592,11.942,11.256,4726.21,600519
41,2005-03-11,11.587,11.785,11.886,11.358,9362.31,600519
42,2005-03-14,11.637,12.024,12.425,11.587,10378.97,600519
43,2005-03-15,12.019,11.912,12.082,11.841,5783.03,600519
44,2005-03-16,11.815,11.912,11.942,11.676,6829.64,600519
45,2005-03-17,11.866,12.067,12.27,11.739,5015.69,600519
46,2005-03-18,12.067,11.978,12.095,11.815,2405.49,600519
47,2005-03-21,11.942,11.942,12.057,11.688,2701.26,600519
48,2005-03-22,11.942,12.395,12.547,11.891,12259.2,600519
49,2005-03-23,12.425,12.458,12.755,12.384,12551.23,600519
50,2005-03-24,12.45,11.947,12.489,11.815,9162.67,600519
51,2005-03-25,11.942,12.013,12.171,11.744,2329.46,600519
52,2005-03-28,12.019,12.473,12.547,11.942,2428.51,600519
53,2005-03-29,12.473,12.224,12.679,12.196,2448.56,600519
54,2005-03-30,12.196,12.036,12.196,11.968,2480.4,600519
55,2005-03-31,11.947,12.224,12.247,11.891,1507.18,600519
56,2005-04-01,12.217,12.443,12.73,12.196,3410.85,600519
57,2005-04-04,12.443,12.689,12.727,12.311,5427.51,600519
58,2005-04-05,12.755,12.692,12.956,12.628,4902.33,600519
59,2005-04-06,12.748,12.999,13.032,12.6,5674.88,600519
60,2005-04-07,13.009,12.725,13.337,12.705,12437.52,600519
61,2005-04-08,12.725,12.679,12.725,12.275,4505.13,600519
62,2005-04-11,12.654,12.247,12.654,12.12,9126.19,600519
63,2005-04-12,12.252,12.087,12.273,12.031,1994.91,600519
64,2005-04-13,12.273,12.423,12.55,12.196,8689.12,600519
65,2005-04-14,12.425,12.448,12.496,12.222,1914.6,600519
66,2005-04-15,12.578,12.4,12.578,12.323,1635.59,600519
67,2005-04-18,12.369,12.085,12.374,12.074,2957.45,600519
68,2005-04-19,12.069,11.815,12.14,11.79,7807.95,600519
69,2005-04-20,11.81,11.902,11.94,11.77,5357.62,600519
70,2005-04-21,11.841,12.265,12.323,11.815,2808.96,600519
71,2005-04-22,12.28,12.227,12.384,12.171,3520.43,600519
72,2005-04-25,12.476,13.213,13.34,12.351,12704.37,600519
73,2005-04-26,13.21,13.281,13.602,13.162,13609.23,600519
74,2005-04-27,13.182,13.421,13.497,13.164,7472.7,600519
75,2005-04-28,13.421,13.467,13.594,13.271,8521.21,600519
76,2005-04-29,13.289,13.467,13.505,13.215,6825.03,600519
77,2005-05-09,13.34,13.091,13.454,13.037,7655.75,600519
78,2005-05-10,12.959,12.872,13.035,12.654,6446.94,600519
79,2005-05-11,12.882,12.539,12.882,12.501,6784.91,600519
80,2005-05-12,12.323,12.425,12.824,12.209,14250.51,600519
81,2005-05-13,12.326,12.379,12.677,12.194,15076.69,600519
82,2005-05-16,12.318,12.425,12.527,12.242,2596.41,600519
83,2005-05-17,12.45,12.616,12.73,12.425,7724.52,600519
84,2005-05-18,12.677,12.196,12.679,11.82,9678.09,600519
85,2005-05-19,12.196,12.494,12.616,11.955,5123.32,600519
86,2005-05-20,12.453,12.489,12.74,12.453,5845.02,600519
87,2005-05-23,12.453,12.295,12.677,12.196,2614.57,600519
88,2005-05-24,12.295,12.237,12.362,12.212,1379.17,600519
89,2005-05-25,12.212,12.146,12.222,12.095,3208.33,600519
90,2005-05-26,12.171,11.701,12.199,11.637,10634.27,600519
91,2005-05-27,11.561,11.383,11.663,11.218,15949.79,600519
92,2005-05-30,11.18,11.358,11.485,11.005,9034.73,600519
93,2005-05-31,11.345,11.325,11.485,11.251,11879.76,600519
94,2005-06-01,11.332,11.358,11.434,11.066,8658.43,600519
95,2005-06-02,11.307,10.443,11.307,10.291,25297.74,600519
96,2005-06-03,10.291,10.72,10.799,10.067,7146.69,600519
97,2005-06-06,10.629,11.343,11.383,10.502,4213.56,600519
98,2005-06-07,11.421,11.495,11.739,11.348,5989.46,600519
99,2005-06-08,11.383,12.555,12.639,11.383,11039.1,600519
100,2005-06-09,12.527,12.28,12.75,12.196,7770.0,600519
101,2005-06-10,12.227,11.947,12.417,11.841,4165.09,600519
102,2005-06-13,11.98,12.001,12.196,11.828,7069.73,600519
103,2005-06-14,11.942,12.113,12.316,11.942,7271.49,600519
104,2005-06-15,11.97,12.102,12.196,11.968,1596.77,600519
105,2005-06-16,12.12,12.321,12.326,12.069,5931.53,600519
106,2005-06-17,12.323,12.323,12.45,12.1,3262.99,600519
107,2005-06-20,12.45,13.162,13.492,12.323,12368.89,600519
108,2005-06-21,13.083,12.913,13.21,12.847,2597.92,600519
109,2005-06-22,12.908,13.292,13.34,12.905,6121.74,600519
110,2005-06-23,13.284,13.236,13.358,13.134,5276.45,600519
111,2005-06-24,13.126,13.342,13.365,12.476,6150.49,600519
112,2005-06-27,13.416,13.937,13.96,13.314,10824.23,600519
113,2005-06-28,13.721,13.568,13.845,13.472,3766.36,600519
114,2005-06-30,13.467,13.632,13.81,13.467,12778.17,600519
115,2005-07-01,13.972,13.304,13.972,13.012,6104.31,600519
116,2005-07-04,13.213,13.286,13.416,13.091,3018.51,600519
117,2005-07-05,13.213,13.205,13.213,13.101,2248.38,600519
118,2005-07-06,13.149,12.783,13.213,12.705,6316.76,600519
119,2005-07-07,12.705,12.834,12.948,12.618,5785.32,600519
120,2005-07-08,12.745,13.187,13.264,12.745,6930.76,600519
121,2005-07-11,13.213,13.203,13.492,13.152,6562.77,600519
122,2005-07-12,13.18,13.594,13.645,13.02,5712.43,600519
123,2005-07-13,13.566,13.34,13.589,12.832,3857.96,600519
124,2005-07-14,13.213,13.441,13.462,13.205,2012.66,600519
125,2005-07-15,13.342,13.464,13.538,13.342,1002.9,600519
126,2005-07-18,13.454,13.391,13.518,13.355,1564.07,600519
127,2005-07-19,13.386,13.454,13.561,13.365,1325.4,600519
128,2005-07-20,13.452,13.241,13.459,13.192,3012.29,600519
129,2005-07-21,13.241,13.208,13.355,13.035,2536.82,600519
130,2005-07-22,13.213,13.231,13.434,13.106,6095.96,600519
131,2005-07-25,13.215,13.05,13.284,12.979,6961.89,600519
132,2005-07-26,12.959,13.159,13.233,12.959,8008.24,600519
133,2005-07-27,13.284,13.434,13.518,13.213,5369.82,600519
134,2005-07-28,13.436,13.543,13.589,13.347,8592.52,600519
135,2005-07-29,13.472,13.507,13.594,13.467,2425.18,600519
136,2005-08-01,13.528,13.614,13.67,13.467,3840.3,600519
137,2005-08-02,13.602,13.563,13.645,13.403,4262.87,600519
138,2005-08-03,13.518,13.617,13.645,13.467,8184.21,600519
139,2005-08-04,13.642,14.105,14.178,13.642,10560.44,600519
140,2005-08-05,14.359,14.356,14.605,14.156,6365.16,600519
141,2005-08-08,14.371,14.189,14.457,13.786,8545.55,600519
142,2005-08-09,14.156,13.983,14.156,13.882,5841.98,600519
143,2005-08-10,13.885,14.208,14.309,13.885,5800.27,600519
144,2005-08-11,14.159,14.577,14.586,14.159,13593.6,600519
145,2005-08-12,14.577,14.469,14.586,14.269,4715.45,600519
146,2005-08-15,14.429,14.768,14.953,14.156,7020.4,600519
147,2005-08-16,14.768,14.611,14.768,14.445,5751.51,600519
148,2005-08-17,15.291,15.023,16.073,14.309,12506.74,600519
149,2005-08-18,15.233,14.491,15.325,14.463,10989.09,600519
150,2005-08-19,14.426,14.491,14.599,14.365,4972.71,600519
151,2005-08-22,14.457,14.617,14.712,14.309,6929.87,600519
152,2005-08-23,14.525,14.774,14.789,14.525,4786.0,600519
153,2005-08-24,14.771,14.756,14.833,14.636,3214.12,600519
154,2005-08-25,14.759,14.756,14.796,14.648,3540.08,600519
155,2005-08-26,14.682,14.9,15.002,14.682,4582.41,600519
156,2005-08-29,14.925,14.983,15.042,14.894,5128.3,600519
157,2005-08-30,14.956,14.888,15.033,14.802,2453.26,600519
158,2005-08-31,14.802,15.036,15.073,14.774,2394.34,600519
159,2005-09-01,15.005,15.386,15.485,15.005,5487.26,600519
160,2005-09-02,15.325,15.559,15.74,15.325,4998.16,600519
161,2005-09-05,15.54,15.679,15.873,15.54,3910.58,600519
162,2005-09-06,15.682,15.417,15.783,15.386,3194.83,600519
163,2005-09-07,15.414,15.553,15.59,15.389,5186.27,600519
164,2005-09-08,15.553,15.396,15.553,15.297,6307.52,600519
165,2005-09-09,15.396,15.325,15.402,15.079,4254.47,600519
166,2005-09-12,15.325,15.266,15.325,15.026,1595.47,600519
167,2005-09-13,15.171,15.63,15.633,15.171,4901.15,600519
168,2005-09-14,15.602,15.651,15.756,15.417,3299.47,600519
169,2005-09-15,15.62,15.614,15.799,15.497,1740.66,600519
170,2005-09-16,15.58,15.685,15.75,15.58,3217.33,600519
171,2005-09-19,15.571,15.534,15.811,15.503,2040.25,600519
172,2005-09-20,15.556,15.528,15.556,15.448,1795.22,600519
173,2005-09-21,15.411,15.291,15.571,15.229,2949.27,600519
174,2005-09-22,15.196,15.094,15.38,14.826,3358.26,600519
175,2005-09-23,15.045,15.054,15.229,14.879,3064.46,600519
176,2005-09-26,15.063,14.949,15.186,14.925,1766.6,600519
177,2005-09-27,14.94,14.848,15.002,14.817,1709.21,600519
178,2005-09-28,14.777,15.008,15.076,14.777,2336.95,600519
179,2005-09-29,15.063,15.294,15.325,15.02,2084.96,600519
180,2005-09-30,15.294,15.22,15.294,14.925,3324.15,600519
181,2005-10-10,15.103,14.968,15.294,14.956,2647.95,600519
182,2005-10-11,14.925,15.029,15.066,14.839,1359.09,600519
183,2005-10-12,15.079,14.62,15.079,14.592,8327.95,600519
184,2005-10-13,14.632,14.491,14.743,14.377,10907.53,600519
185,2005-10-14,14.457,14.014,14.602,13.94,4942.58,600519
186,2005-10-17,13.894,14.066,14.309,13.814,9468.38,600519
187,2005-10-18,14.063,14.432,14.432,14.063,9642.18,600519
188,2005-10-19,14.491,14.432,14.602,14.3,7924.51,600519
189,2005-10-20,14.377,14.226,14.494,14.171,5721.62,600519
190,2005-10-21,14.186,14.248,14.294,14.156,3395.38,600519
191,2005-10-24,14.217,14.479,14.509,14.217,4444.67,600519
192,2005-10-25,14.565,14.66,14.709,14.556,11594.86,600519
193,2005-10-26,14.654,14.642,14.691,14.556,9635.79,600519
194,2005-10-27,14.629,14.454,14.629,14.325,9748.15,600519
195,2005-10-28,14.457,14.636,14.802,14.457,6982.31,600519
196,2005-10-31,14.614,14.829,15.017,14.497,6685.72,600519
197,2005-11-01,14.891,14.863,14.94,14.716,8542.88,600519
198,2005-11-02,14.771,14.82,14.94,14.642,2766.09,600519
199,2005-11-03,14.891,14.528,14.909,14.525,2539.7,600519
200,2005-11-04,14.531,14.54,14.648,14.276,4895.62,600519
201,2005-11-07,14.312,14.442,14.463,14.279,2475.17,600519
202,2005-11-08,14.439,14.442,14.472,14.42,6077.3,600519
203,2005-11-09,14.519,14.377,14.617,14.312,6020.73,600519
204,2005-11-10,14.432,14.349,14.432,14.205,3950.13,600519
205,2005-11-11,14.223,14.272,14.352,14.152,2926.91,600519
206,2005-11-14,14.174,14.032,14.248,14.017,2162.89,600519
207,2005-11-15,14.079,13.971,14.119,13.971,7767.6,600519
208,2005-11-16,13.965,14.122,14.143,13.848,7248.56,600519
