timestamp,ticker,action,quantity,exchange,price,commission
2006-11-30 00:00:00,AGG,BOT,2774,ARCA,101.07,13.87
2006-11-30 00:00:00,SPY,BOT,2643,ARCA,140.53,13.215
2007-01-31 00:00:00,AGG,SLD,2774,ARCA,99.63,13.87
2007-01-31 00:00:00,AGG,BOT,2803,ARCA,99.63,14.015
2007-01-31 00:00:00,SPY,SLD,2643,ARCA,143.75,13.215
2007-01-31 00:00:00,SPY,BOT,2592,ARCA,143.75,12.96
2007-02-28 00:00:00,AGG,SLD,2803,ARCA,100.85,14.015
2007-02-28 00:00:00,AGG,BOT,2731,ARCA,100.85,13.655
2007-02-28 00:00:00,SPY,SLD,2592,ARCA,140.93,12.96
2007-02-28 00:00:00,SPY,BOT,2623,ARCA,140.93,13.115
2007-04-30 00:00:00,AGG,SLD,2731,ARCA,100.46,13.655
2007-04-30 00:00:00,AGG,BOT,2857,ARCA,100.46,14.285
2007-04-30 00:00:00,SPY,SLD,2623,ARCA,148.29,13.115
2007-04-30 00:00:00,SPY,BOT,2573,ARCA,148.29,12.865
2007-05-31 00:00:00,AGG,SLD,2857,ARCA,99.16,14.285
2007-05-31 00:00:00,AGG,BOT,2919,ARCA,99.16,14.595
2007-05-31 00:00:00,SPY,SLD,2573,ARCA,153.32,12.865
2007-05-31 00:00:00,SPY,BOT,2533,ARCA,153.32,12.665
2007-07-31 00:00:00,AGG,SLD,2919,ARCA,98.99,14.595
2007-07-31 00:00:00,AGG,BOT,2811,ARCA,98.99,14.055
2007-07-31 00:00:00,SPY,SLD,2533,ARCA,145.72,12.665
2007-07-31 00:00:00,SPY,BOT,2554,ARCA,145.72,12.77
2007-08-31 00:00:00,AGG,SLD,2811,ARCA,99.82,14.055
2007-08-31 00:00:00,AGG,BOT,2771,ARCA,99.82,13.855
2007-08-31 00:00:00,SPY,SLD,2554,ARCA,147.59,12.77
2007-08-31 00:00:00,SPY,BOT,2557,ARCA,147.59,12.785
2007-10-31 00:00:00,AGG,SLD,2771,ARCA,100.61,13.855
2007-10-31 00:00:00,AGG,BOT,2831,ARCA,100.61,14.155
2007-10-31 00:00:00,SPY,SLD,2557,ARCA,154.65,12.785
2007-10-31 00:00:00,SPY,BOT,2524,ARCA,154.65,12.62
2007-11-30 00:00:00,AGG,SLD,2831,ARCA,102.0,14.155
2007-11-30 00:00:00,AGG,BOT,2724,ARCA,102.0,13.62
2007-11-30 00:00:00,SPY,SLD,2524,ARCA,148.66,12.62
2007-11-30 00:00:00,SPY,BOT,2570,ARCA,148.66,12.85
2007-12-31 00:00:00,AGG,SLD,2724,ARCA,101.17,13.62
2007-12-31 00:00:00,AGG,BOT,2714,ARCA,101.17,13.57
2007-12-31 00:00:00,SPY,SLD,2570,ARCA,146.21,12.85
2007-12-31 00:00:00,SPY,BOT,2557,ARCA,146.21,12.785
2008-01-31 00:00:00,AGG,SLD,2714,ARCA,103.51,13.57
2008-01-31 00:00:00,AGG,BOT,2522,ARCA,103.51,12.61
2008-01-31 00:00:00,SPY,SLD,2557,ARCA,137.37,12.785
2008-01-31 00:00:00,SPY,BOT,2635,ARCA,137.37,13.175
2008-02-29 00:00:00,AGG,SLD,2522,ARCA,102.93,12.61
2008-02-29 00:00:00,AGG,BOT,2544,ARCA,102.93,12.72
2008-02-29 00:00:00,SPY,SLD,2635,ARCA,133.82,13.175
2008-02-29 00:00:00,SPY,BOT,2647,ARCA,133.82,13.235
2008-03-31 00:00:00,AGG,SLD,2544,ARCA,102.68,12.72
2008-03-31 00:00:00,AGG,BOT,2465,ARCA,102.68,12.325
2008-03-31 00:00:00,SPY,SLD,2647,ARCA,131.97,13.235
2008-03-31 00:00:00,SPY,BOT,2640,ARCA,131.97,13.2
2008-04-30 00:00:00,AGG,SLD,2465,ARCA,102.6,12.325
2008-04-30 00:00:00,AGG,BOT,2558,ARCA,102.6,12.79
2008-04-30 00:00:00,SPY,SLD,2640,ARCA,138.26,13.2
2008-04-30 00:00:00,SPY,BOT,2605,ARCA,138.26,13.025
2008-06-30 00:00:00,AGG,SLD,2558,ARCA,100.4,12.79
2008-06-30 00:00:00,AGG,BOT,2410,ARCA,100.4,12.05
2008-06-30 00:00:00,SPY,SLD,2605,ARCA,127.98,13.025
2008-06-30 00:00:00,SPY,BOT,2618,ARCA,127.98,13.09
2008-07-31 00:00:00,AGG,SLD,2410,ARCA,100.41,12.05
2008-07-31 00:00:00,AGG,BOT,2414,ARCA,100.41,12.07
2008-07-31 00:00:00,SPY,SLD,2618,ARCA,126.83,13.09
2008-07-31 00:00:00,SPY,BOT,2625,ARCA,126.83,13.125
2008-09-30 00:00:00,AGG,SLD,2414,ARCA,98.59,12.07
2008-09-30 00:00:00,AGG,BOT,2181,ARCA,98.59,10.905
2008-09-30 00:00:00,SPY,SLD,2625,ARCA,115.99,13.125
2008-09-30 00:00:00,SPY,BOT,2651,ARCA,115.99,13.255
2008-10-31 00:00:00,AGG,SLD,2181,ARCA,95.96,10.905
2008-10-31 00:00:00,AGG,BOT,1987,ARCA,95.96,9.935
2008-10-31 00:00:00,SPY,SLD,2651,ARCA,96.83,13.255
